n,r3
2541,528
2542,192
2543,0
2544,0
2545,288
2546,768
2547,360
2548,168
2549,840
2550,336
2551,0
2552,240
2553,288
2554,456
2555,288
2556,0
2557,216
2558,768
2559,0
2560,24
2561,768
2562,288
2563,144
2564,336
2565,768
2566,216
2567,0
2568,192
2569,384
2570,528
2571,336
2572,72
2573,528
2574,720
2575,0
2576,192
2577,240
2578,192
2579,504
2580,192
2581,432
2582,600
2583,0
2584,192
2585,480
2586,672
2587,192
2588,0
2589,384
2590,288
2591,0
2592,108
2593,288
2594,528
2595,288
2596,240
2597,648
2598,288
2599,0
2600,360
2601,510
2602,312
2603,480
2604,192
2605,192
2606,720
2607,0
2608,24
2609,1008
2610,720
2611,192
2612,168
2613,288
2614,552
2615,0
2616,336
2617,384
2618,480
2619,384
2620,0
2621,744
2622,288
2623,0
2624,96
2625,576
2626,432
2627,288
2628,240
2629,288
2630,720
2631,0
2632,96
2633,384
2634,432
2635,288
2636,264
2637,648
2638,240
2639,0
2640,96
2641,240
2642,624
2643,240
2644,216
2645,552
2646,672
2647,0
2648,264
2649,528
2650,360
2651,624
2652,0
2653,288
2654,576
2655,0
2656,120
2657,384
2658,288
2659,312
2660,288
2661,576
2662,288
2663,0
2664,360
2665,384
2666,816
2667,192
2668,96
2669,768
2670,480
2671,0
2672,0
2673,624
2674,384
2675,504
2676,144
2677,264
2678,480
2679,0
2680,144
2681,864
2682,360
2683,120
2684,0
2685,288
2686,384
2687,0
2688,48
2689,288
2690,720
2691,576
2692,144
2693,504
2694,720
2695,0
2696,288
2697,288
2698,288
2699,360
2700,224
2701,576
2702,576
2703,0
2704,78
2705,864
2706,384
2707,168
2708,360
2709,480
2710,288
2711,0
2712,240
2713,288
2714,960
2715,192
2716,0
2717,384
2718,432
2719,0
2720,144
2721,624
2722,240
2723,288
2724,240
2725,360
2726,816
2727,0
2728,144
2729,960
2730,384
2731,264
2732,120
2733,384
2734,336
2735,0
2736,120
2737,192
2738,468
2739,384
2740,144
2741,696
2742,384
2743,0
2744,384
2745,576
2746,456
2747,432
2748,0
2749,504
2750,864
2751,0
2752,24
2753,336
2754,816
2755,192
2756,480
2757,528
2758,288
2759,0
2760,192
2761,336
2762,312
2763,360
2764,120
2765,672
2766,336
2767,0
2768,168
2769,480
2770,432
2771,624
2772,288
2773,192
2774,672
2775,0
2776,120
2777,480
2778,432
2779,336
2780,0
2781,576
2782,336
2783,0
2784,144
2785,384
2786,864
2787,144
2788,96
2789,984
2790,480
2791,0
2792,312
2793,432
2794,288
2795,288
2796,240
2797,216
2798,528
2799,0
2800,0
2801,720
2802,288
2803,216
2804,408
2805,576
2806,432
2807,0
2808,192
2809,318
2810,480
2811,384
2812,0
2813,720
2814,480
2815,0
2816,24
2817,480
2818,240
2819,504
2820,288
2821,384
2822,576
2823,0
2824,288
2825,672
2826,936
2827,192
2828,144
2829,384
2830,240
2831,0
2832,48
2833,384
2834,1008
2835,432
2836,120
2837,552
2838,480
2839,0
2840,384
2841,528
2842,216
2843,360
2844,0
2845,384
2846,864
2847,0
2848,96
2849,768
2850,480
2851,264
2852,288
2853,360
2854,312
2855,0
2856,288
2857,240
2858,456
2859,432
2860,96
2861,792
2862,576
2863,0
2864,120
2865,384
2866,480
2867,288
2868,192
2869,480
2870,672
2871,0
2872,144
2873,624
2874,480
2875,288
2876,0
2877,480
2878,192
2879,0
2880,72
2881,336
2882,768
2883,248
2884,192
2885,432
2886,480
2887,0
2888,228
2889,960
2890,456
2891,504
2892,96
2893,192
2894,816
2895,0
2896,120
2897,432
2898,480
2899,240
2900,360
2901,624
2902,216
2903,0
2904,264
2905,288
2906,792
2907,288
2908,0
2909,840
2910,480
2911,0
2912,144
2913,336
2914,288
2915,576
2916,318
2917,264
2918,408
2919,0
2920,144
2921,768
2922,528
2923,144
2924,288
2925,840
2926,480
2927,0
2928,0
2929,480
2930,336
2931,336
2932,168
2933,528
2934,792
2935,0
2936,480
2937,288
2938,288
2939,696
2940,0
2941,336
2942,480
2943,0
2944,48
2945,768
2946,384
2947,192
2948,240
2949,384
2950,504
2951,0
2952,240
2953,288
2954,960
2955,288
2956,120
2957,648
2958,384
2959,0
2960,192
