M,n_modes,gamma,field,seed,sum_T,sum_absT,sum_A,r_cons,Pi_half,A_half,D_a,shell_n,shell_A,shell_absT,shell_sumT,D_b1,D_b2,secs
5,514,1.833333,locked_plus,0,-1.6074381409e-15,3.0716511422e0,3.2097432807e2,5.233e-16,1.3346528743e-15,1.8135473542e2,1.358816e17,258,7.0117870303e1,1.2436312037e0,3.2157436436e-16,5.638156e1,2.180456e17,0.00
5,514,1.833333,locked_quad,0,-5.3568260938e-15,4.3107595322e1,1.9898065675e2,1.243e-16,4.3839551094e-1,1.1221869849e2,2.559759e2,258,4.3701423528e1,1.2554436670e1,2.1131938858e-1,3.480955e0,2.068027e2,0.01
5,514,1.833333,arith,0,-1.0651202142e-15,5.6715897040e1,2.3740858415e2,1.878e-17,6.4189022889e-2,1.4283038269e2,2.225153e3,258,5.7101802729e1,1.2727876787e1,3.9146877273e-2,4.486357e0,1.458655e3,0.01
6,924,0.000000,random,1,-3.5527136788e-15,1.3387495397e4,2.6347755910e5,2.654e-19,1.7511209398e0,2.3472787475e5,1.340444e5,410,1.1557539670e5,6.1246949608e3,2.4154799472e2,1.887039e1,4.784780e2,0.01
6,924,0.000000,random,2,4.5830006457e-13,1.3959414080e4,2.6351848368e5,3.283e-17,-1.4954360223e2,2.3442785012e5,1.567622e3,410,1.1531981277e5,6.4857458123e3,1.7253303265e2,1.778050e1,6.683927e2,0.01
6,924,0.000000,random,3,-2.0961010705e-13,1.4157300143e4,2.6528718913e5,1.481e-17,-2.9996666691e2,2.3614871925e5,7.872499e2,410,1.1613091868e5,6.8045767735e3,-1.8419363063e2,1.706659e1,6.304828e2,0.01
6,924,0.000000,locked_plus,0,-4.0709657867e-12,3.8041156409e3,5.5856350777e5,1.070e-15,-4.5825565564e-12,5.0539053396e5,1.102857e17,410,2.5365754499e5,2.0382572799e3,-4.6962433942e-12,1.244482e2,5.401286e16,0.01
6,924,0.000000,locked_quad,0,2.2879476091e-11,1.0230927043e5,3.0394541364e5,2.236e-16,1.2828682103e3,2.7344563450e5,2.131518e2,410,1.3739757199e5,5.3761856337e4,2.0222731533e3,2.555670e0,6.794214e1,0.02
6,924,0.000000,arith,0,-7.6116890568e-13,1.3922196768e5,4.2986755753e5,5.467e-18,-9.5031252738e1,3.8720497946e5,4.074501e3,410,1.9840227390e5,5.6734544809e4,5.5339497581e1,3.497028e0,3.585184e3,0.03
6,924,1.833333,random,1,9.2200552748e-16,2.2181826286e1,2.3405162323e2,4.157e-17,1.7330272364e-1,1.3319392318e2,7.685622e2,410,3.9436949251e1,3.1610701492e0,1.4700735293e-1,1.247582e1,2.682651e2,0.02
6,924,1.833333,random,2,2.2204460493e-16,2.3821219872e1,2.3608464826e2,9.321e-18,-1.6676353383e-1,1.3290751752e2,7.969819e2,410,3.9374022480e1,3.1998134048e0,-4.7378433383e-2,1.230510e1,8.310537e2,0.01
6,924,1.833333,random,3,-1.6534083130e-16,2.4386326964e1,2.3414862323e2,6.780e-18,-6.7466865851e-1,1.3479134948e2,1.997890e2,410,3.9455304411e1,3.2473729504e0,-2.3288983967e-1,1.214991e1,1.694162e2,0.02
6,924,1.833333,locked_plus,0,-2.8286834680e-15,3.8019934344e0,4.6520242910e2,7.440e-16,1.2236305719e-15,2.7519085471e2,2.248970e17,410,8.2872518190e1,1.4038828772e0,-8.1640423588e-16,5.903093e1,1.015092e17,0.01
6,924,1.833333,locked_quad,0,-2.6506574713e-15,6.0325181386e1,2.8969851040e2,4.394e-17,9.0377787328e-1,1.7150574487e2,1.897654e2,410,5.1936782572e1,1.5187753725e1,3.2710042399e-1,3.419649e0,1.587793e2,0.01
6,924,1.833333,arith,0,-5.2324681046e-15,8.7613312858e1,3.6121358437e2,5.972e-17,9.1739384262e-2,2.2493541099e2,2.451896e3,410,7.0569475126e1,1.5759921917e1,6.2372561024e-2,4.477781e0,1.131419e3,0.02
7,1418,0.000000,random,1,-1.6764367672e-13,3.1822912694e4,7.1794323889e5,5.268e-18,3.5182904794e2,6.4425559577e5,1.831161e3,494,2.4236947192e5,1.1401059501e4,8.8749460397e2,2.125850e1,2.730940e2,0.03
7,1418,0.000000,random,2,-3.2684965845e-13,3.1417852625e4,7.1943889769e5,1.040e-17,6.9434691213e2,6.4552947561e5,9.296930e2,494,2.4330398998e5,1.2186492995e4,-1.0116157276e2,1.996505e1,2.405103e3,0.03
7,1418,0.000000,random,3,-6.1028959664e-13,3.2321811842e4,7.1939677752e5,1.888e-17,1.0664781179e2,6.4498522208e5,6.047805e3,494,2.4288132275e5,1.1615496419e4,3.0247115148e2,2.091011e1,8.029900e2,0.02
7,1418,0.000000,locked_plus,0,2.4091617590e-11,5.7888828639e3,1.5150814806e6,4.162e-15,1.4541923221e-11,1.3803323836e6,9.492090e16,494,5.3073613315e5,2.6350736066e3,-2.8521629503e-12,2.014123e2,1.860820e17,0.02
7,1418,0.000000,locked_quad,0,4.0984104999e-11,2.8045542344e5,8.2752813549e5,1.461e-16,2.4906998382e3,7.4894993946e5,3.006986e2,494,2.9039420663e5,1.1485199309e5,8.4126300267e3,2.528421e0,3.451884e1,0.02
7,1418,0.000000,arith,0,1.4308110252e-11,3.8356685131e5,1.1975771137e6,3.730e-17,-1.0487605782e2,1.0888478328e6,1.038223e4,494,4.2612467268e5,1.1910718191e5,-8.3785537038e1,3.577657e0,5.085898e3,0.04
7,1418,1.833333,random,1,1.2134390714e-15,2.4805600607e1,2.9881759182e2,4.892e-17,1.7454253363e-1,1.7274770592e2,9.897170e2,494,3.5621850556e1,2.9438130857e0,-2.0879062705e-2,1.210058e1,1.706104e3,0.02
7,1418,1.833333,random,2,-3.0106125926e-15,2.8921656209e1,3.0671579953e2,1.041e-16,8.2973500264e-1,1.7356995697e2,2.091872e2,494,3.5582073988e1,2.6249771668e0,-1.2667193989e-1,1.355519e1,2.808994e2,0.02
7,1418,1.833333,random,3,5.9761223747e-16,2.6688128652e1,3.0870023515e2,2.239e-17,1.1545934503e-2,1.7440970660e2,1.510572e4,494,3.5414105754e1,2.7050950013e0,1.1202614778e-1,1.309163e1,3.161236e2,0.03
7,1418,1.833333,locked_plus,0,7.5159605102e-16,4.0111231430e0,6.0195276487e2,1.874e-16,3.3398034772e-15,3.5516553337e2,1.063432e17,494,7.4382009340e1,1.2559142103e0,2.8669015946e-16,5.922539e1,2.594509e17,0.03
7,1418,1.833333,locked_quad,0,6.1617377867e-15,7.6752178008e1,3.7644457249e2,8.028e-17,7.4395801561e-1,2.2274615726e2,2.994069e2,494,4.7065842696e1,1.4292439540e1,6.7574338007e-1,3.293059e0,6.965047e1,0.02
7,1418,1.833333,arith,0,-4.6776276429e-15,1.1631026742e2,4.8249062768e2,4.022e-17,5.3455409143e-2,3.0111830416e2,5.633075e3,494,6.5045611583e1,1.4412419982e1,6.5476734232e-3,4.513164e0,9.934156e3,0.03
8,2108,0.000000,random,1,-2.4940050025e-12,6.2712066948e4,1.8099428201e6,3.977e-17,2.0915095185e2,1.6308338399e6,7.797401e3,690,5.7216357391e5,2.1842538393e4,6.2792037338e1,2.619492e1,9.112040e3,0.07
8,2108,0.000000,random,2,-1.2414513861e-12,6.4518519828e4,1.8070292254e6,1.924e-17,-2.1068004394e2,1.6279411618e6,7.727078e3,690,5.7115858258e5,2.1778172171e4,-1.5255058203e3,2.622619e1,3.744060e2,0.06
8,2108,0.000000,random,3,-4.0323300254e-13,6.3067198871e4,1.8101044993e6,6.394e-18,9.5031504235e2,1.6305094312e6,1.715757e3,690,5.7233935128e5,2.1791116780e4,1.3672016223e2,2.626480e1,4.186210e3,0.06
8,2108,0.000000,locked_plus,0,-8.1725737289e-12,1.1098608191e4,3.8245417315e6,7.364e-16,-5.8704152650e-12,3.4989505271e6,5.960312e17,690,1.2556807253e6,4.5223009717e3,2.0308199566e-12,2.776641e2,6.183122e17,0.05
8,2108,0.000000,locked_quad,0,-1.2073542166e-10,7.0717751527e5,2.0855670277e6,1.707e-16,7.9535732777e3,1.8963740647e6,2.384305e2,690,6.8387051418e5,2.7016016274e5,1.2666970231e4,2.531352e0,5.398848e1,0.07
8,2108,0.000000,arith,0,1.2574830066e-11,9.9190482209e5,3.0807783972e6,1.268e-17,6.5215079298e2,2.8091683686e6,4.307544e3,690,1.0292463556e6,2.8656432812e5,-2.0513746433e2,3.591676e0,5.017350e3,0.08
8,2108,1.833333,random,1,-5.0779760713e-15,3.0508941899e1,3.8519697319e2,1.664e-16,-5.8087340260e-1,2.1829921658e2,3.758120e2,690,4.0686481737e1,2.5897302282e0,3.9402405055e-2,1.571070e1,1.032589e3,0.06
8,2108,1.833333,random,2,-5.1938705073e-15,2.8659340304e1,3.8103525713e2,1.812e-16,-1.7843000640e-3,2.1816000055e2,1.222664e5,690,4.0409684977e1,2.5139847630e0,-9.5408102337e-2,1.607396e1,4.235456e2,0.05
8,2108,1.833333,random,3,-9.6363889091e-16,3.1471421227e1,3.8381672119e2,3.062e-17,-1.1332150098e-1,2.1860413176e2,1.929061e3,690,4.0390190693e1,2.5914503560e0,-4.8576417188e-2,1.558594e1,8.314774e2,0.05
